date,home_team,away_team,group
11.06.2026,Mexico,South Africa,A
11.06.2026,South Korea,Czech Republic,A
12.06.2026,Canada,Bosnia and Herzegovina,B
12.06.2026,United States,Paraguay,D
13.06.2026,Qatar,Switzerland,B
13.06.2026,Brazil,Morocco,C
13.06.2026,Haiti,Scotland,C
13.06.2026,Australia,Turkey,D
14.06.2026,Germany,Curaçao,E
14.06.2026,Ivory Coast,Ecuador,E
14.06.2026,Netherlands,Japan,F
14.06.2026,Sweden,Tunisia,F
15.06.2026,Belgium,Egypt,G
15.06.2026,Iran,New Zealand,G
15.06.2026,Spain,Cape Verde,H
15.06.2026,Saudi Arabia,Uruguay,H
16.06.2026,France,Senegal,I
16.06.2026,Iraq,Norway,I
16.06.2026,Argentina,Algeria,J
16.06.2026,Austria,Jordan,J
17.06.2026,Portugal,DR Congo,K
17.06.2026,Uzbekistan,Colombia,K
17.06.2026,England,Croatia,L
17.06.2026,Ghana,Panama,L
18.06.2026,Czech Republic,South Africa,A
18.06.2026,Mexico,South Korea,A
18.06.2026,Switzerland,Bosnia and Herzegovina,B
18.06.2026,Canada,Qatar,B
19.06.2026,Scotland,Morocco,C
19.06.2026,Brazil,Haiti,C
19.06.2026,United States,Australia,D
19.06.2026,Turkey,Paraguay,D
20.06.2026,Germany,Ivory Coast,E
20.06.2026,Ecuador,Curaçao,E
20.06.2026,Netherlands,Sweden,F
20.06.2026,Tunisia,Japan,F
21.06.2026,Belgium,Iran,G
21.06.2026,New Zealand,Egypt,G
21.06.2026,Spain,Saudi Arabia,H
21.06.2026,Uruguay,Cape Verde,H
22.06.2026,France,Iraq,I
22.06.2026,Norway,Senegal,I
22.06.2026,Argentina,Austria,J
22.06.2026,Jordan,Algeria,J
23.06.2026,Portugal,Uzbekistan,K
23.06.2026,Colombia,DR Congo,K
23.06.2026,England,Ghana,L
23.06.2026,Panama,Croatia,L
24.06.2026,Mexico,Czech Republic,A
24.06.2026,South Africa,South Korea,A
24.06.2026,Canada,Switzerland,B
24.06.2026,Bosnia and Herzegovina,Qatar,B
24.06.2026,Scotland,Brazil,C
24.06.2026,Morocco,Haiti,C
25.06.2026,United States,Turkey,D
25.06.2026,Paraguay,Australia,D
25.06.2026,Curaçao,Ivory Coast,E
25.06.2026,Ecuador,Germany,E
25.06.2026,Japan,Sweden,F
25.06.2026,Tunisia,Netherlands,F
26.06.2026,Egypt,Iran,G
26.06.2026,New Zealand,Belgium,G
26.06.2026,Cape Verde,Saudi Arabia,H
26.06.2026,Uruguay,Spain,H
26.06.2026,Norway,France,I
26.06.2026,Senegal,Iraq,I
27.06.2026,Algeria,Austria,J
27.06.2026,Jordan,Argentina,J
27.06.2026,Colombia,Portugal,K
27.06.2026,DR Congo,Uzbekistan,K
27.06.2026,Panama,England,L
27.06.2026,Croatia,Ghana,L
